sub,ses,task_name,run,setup,path_to_emg_file,path_to_labels_file
01,,rest,1,VL_3x4s_1i,sub1/vl_trial1.npy,sub1/vl_trial1_spike_trains.npz
01,,isometric30percentMVC,1,VL_3x4s_1i,sub1/vl_trial2.npy,sub1/vl_trial2_spike_trains.npz
01,,isometric50percentMVC,1,VL_3x4s_1i,sub1/vl_trial3.npy,sub1/vl_trial3_spike_trains.npz
01,,isometric50percentMVC,2,VL_3x4s_1i,sub1/vl_trial4.npy,sub1/vl_trial4_spike_trains.npz
02,01,rest,1,TA_dual_3x3,sub2/ta_2grids_trial1.npy,sub2/ta_2grids_trial1_spike_trains.npz
02,01,isometric30percentMVC,1,TA_dual_3x3,sub2/ta_2grids_trial2.npy,sub2/ta_2grids_trial2_spike_trains.npz
02,01,isometric30percentMVC,2,TA_dual_3x3,sub2/ta_2grids_trial3.npy,sub2/ta_2grids_trial3_spike_trains.npz
02,02,isometric30percentMVC,1,TA_4x4,sub2/ta_1grid_trial1.npy,sub2/ta_1grid_trial1_spike_trains.npz
02,02,isometric30percentMVC,2,TA_4x4,sub2/ta_1grid_trial2.npy,sub2/ta_1grid_trial2_spike_trains.npz
02,02,isometric30percentMVC,3,TA_4x4,sub2/ta_1grid_trial3.npy,sub2/ta_1grid_trial3_spike_trains.npz
